fileName,tenure,tabuStrategie,localSearchStrategie,valueSol
instances/qbf020,20,1,1,-120.0
instances/qbf040,20,1,1,-287.0
instances/qbf060,20,1,1,-490.0
instances/qbf020,20,1,2,-125.0
instances/qbf040,20,1,2,-352.0
instances/qbf060,20,1,2,-500.0
instances/qbf020,10,1,1,-120.0
instances/qbf040,10,1,1,-294.0
instances/qbf060,10,1,1,-500.0
instances/qbf020,20,2,1,-120.0
instances/qbf040,20,2,1,-315.0
instances/qbf060,20,2,1,-370.0
instances/qbf020,20,3,1,-120.0
instances/qbf040,20,3,1,-265.0
instances/qbf060,20,3,1,-373.0
